"endTime","artistName","trackName","minutesPlayed"
2021-08-01 04:00:00,"NEFFEX","FIGHT BACK",3.34
2021-08-01 04:06:00,"A$AP Rocky","PRAISE THE LORD (DA SHINE) (FEAT. SKEPTA)",3.42
2021-08-01 04:09:00,"Kanye West","GOLD DIGGER",3.46
2021-08-01 04:12:00,"The Seige","RUN FOR YOUR LIFE",3
2021-08-01 04:14:00,"Mike WiLL Made-It","RUNNIN (WITH A$AP ROCKY, A$AP FERG & NICKI MINAJ)",2.19
2021-08-01 04:20:00,"Eminem","LOSE YOURSELF - FROM ""8 MILE"" SOUNDTRACK",5.37
2021-08-01 04:27:00,"Logic","HOMICIDE (FEAT. EMINEM)",2.09
2021-08-01 04:27:00,"DaBaby","BOP",0.04
2021-08-01 04:30:00,"Drake","WHAT’S NEXT",2.97
2021-08-01 04:31:00,"Big Sean","BOUNCE BACK",0.26
2021-08-01 04:31:00,"The Seige","RUN FOR YOUR LIFE",0.44
2021-08-01 04:42:00,"22 Yarns with Gaurav Kapur (Cricket Podcast)","THE SUNSHINE GUY FT DINESH KARTHIK",10.49
2021-08-01 14:02:00,"22 Yarns with Gaurav Kapur (Cricket Podcast)","THE SUNSHINE GUY FT DINESH KARTHIK",5.91
2021-08-01 14:14:00,"22 Yarns with Gaurav Kapur (Cricket Podcast)","THE SUNSHINE GUY FT DINESH KARTHIK",10.86
2021-08-01 14:14:00,"Kelsea Ballerini","I QUIT DRINKING",0.06
2021-08-01 14:14:00,"The Kid LAROI","STAY (WITH JUSTIN BIEBER)",0
2021-08-01 14:19:00,"The Kid LAROI","STAY (WITH JUSTIN BIEBER)",2.36
2021-08-01 14:20:00,"James Arthur","SEPTEMBER",0.28
2021-08-01 14:24:00,"Dua Lipa","LOVE AGAIN",4.3
2021-08-01 14:51:00,"Martin Garrix","WE ARE THE PEOPLE (FEAT. BONO & THE EDGE) - OFFICIAL UEFA EURO 2020 SONG",1.2
2021-08-01 16:52:00,"David Guetta","IF YOU REALLY LOVE ME (HOW WILL I KNOW)",0.06
2021-08-01 16:52:00,"Lil Nas X","INDUSTRY BABY (FEAT. JACK HARLOW)",0.02
2021-08-01 16:52:00,"Dermot Kennedy","BETTER DAYS",0.01
2021-08-01 16:52:00,"Justin Wellington","IKO IKO (MY BESTIE)",0.04
2021-08-01 16:52:00,"OneRepublic","RUN",0.02
2021-08-01 16:55:00,"KSI","HOLIDAY",3.23
2021-08-01 16:58:00,"James Arthur","SEPTEMBER",2.69
2021-08-01 17:56:00,"Becky Hill","REMEMBER",0.58
2021-08-01 18:02:00,"Nelly","DILEMMA",2.82
2021-08-01 18:08:00,"The Avett Brothers","NO HARD FEELINGS",5.24
2021-08-01 18:12:00,"BANNERS","SOMEONE TO YOU",3.66
2021-08-01 18:16:00,"Hailee Steinfeld","STARVING",0.97
2021-08-01 18:19:00,"Alessia Cara","OUT OF LOVE",1.02
2021-08-01 18:19:00,"Soulja Boy","KISS ME THRU THE PHONE",0.07
2021-08-01 18:24:00,"Eminem","LOSE YOURSELF - FROM ""8 MILE"" SOUNDTRACK",0.27
2021-08-01 18:24:00,"Green Day","21 GUNS",5.37
2021-08-01 18:26:00,"Coldplay","CLOCKS",1.74
2021-08-01 18:27:00,"James Arthur","TRAIN WRECK",0.93
2021-08-01 18:30:00,"DJ Khaled","LET IT GO (FEAT. JUSTIN BIEBER & 21 SAVAGE)",2.76
2021-08-01 18:33:00,"Arizona Zervas","NIGHTRIDER",0.25
2021-08-01 18:33:00,"Justin Bieber","INTENTIONS",0.16
2021-08-01 18:33:00,"Justin Bieber","PEACHES (FEAT. DANIEL CAESAR & GIVEON)",0.01
